tract,population,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
Hi-Pointe,2631,2419,138,212,,,,13587,"POLYGON ((-90.30451862758541 38.63264789434801, -90.30399155572876 38.63260810283557, -90.30034701369338 38.63226828354424, -90.2995526258362 38.63216716596183, -90.29762336754916 38.63198027997934, -90.29648971992324 38.63187078333365, -90.29685755402851 38.62950921590205, -90.29723752102259 38.62955518271014, -90.29836471470811 38.62438194343083, -90.29838929847303 38.62435293390831, -90.2989046312023 38.62458766367629, -90.29911302268306 38.62465782305067, -90.29973412646406 38.62483509374835, -90.3001807397425 38.62493630322993, -90.30061634362509 38.62500660059486, -90.30085484888386 38.62503608611449, -90.30107536452473 38.62503942682228, -90.30131874763352 38.6258510687944, -90.30123662909089 38.62621819667629, -90.30145097717684 38.62623800174597, -90.30718242540307 38.62678103784637, -90.30931896883622 38.62696966943319, -90.30870731218762 38.63034846309326, -90.30783113602591 38.63245888833412, -90.30782762795467 38.63246162849352, -90.30638708734645 38.63353428162622, -90.30637286871541 38.6336143566048, -90.30627377798386 38.63358192800405, -90.30600050563028 38.63355560862866, -90.30595744092747 38.63350542415979, -90.30585035107795 38.63341463111612, -90.30569801980563 38.63331508573917, -90.30516968273102 38.63300345126031, -90.30451862758541 38.63264789434801))"
Holly Hills,3213,3174,22,39,,,,15017,"POLYGON ((-90.25183835990345 38.5715589157352, -90.25964733266552 38.56245472938683, -90.26171832427431 38.56344042139252, -90.26519512470314 38.56529000779372, -90.26978931132442 38.56768451282493, -90.26976274575313 38.56778902636302, -90.26971184135935 38.56784823875521, -90.26858453424892 38.56918647846344, -90.26842163445656 38.5693539063609, -90.2677137556179 38.56994562884343, -90.26745651704147 38.56980963296947, -90.26679430293281 38.5704348587372, -90.26672521493768 38.57052374473735, -90.26418608670522 38.57374742508748, -90.25901771682736 38.57101720254182, -90.25839711358245 38.57068116470995, -90.25728731448127 38.57279072238138, -90.25703561410754 38.57326686918269, -90.25664833100095 38.57400244525152, -90.25612657917945 38.57373428859326, -90.25607334244668 38.57379596146895, -90.25183835990345 38.5715589157352))"
Hyde Park,4917,1553,3331,3364,,,,6710,"POLYGON ((-90.20115560341677 38.66829658995132, -90.20083538242996 38.66782235079219, -90.20003824870558 38.66664023124878, -90.19935947556115 38.66563642709873, -90.19897918779381 38.66507619140953, -90.19868862812505 38.66462626879086, -90.19821790884305 38.66384381888449, -90.19797297524489 38.66337317071799, -90.19768007983825 38.66279053000775, -90.19730067939088 38.66202616054503, -90.19703359044227 38.66148040743025, -90.19685914444872 38.66111565656677, -90.19665554926029 38.66060461050209, -90.19653980383104 38.6602395445213, -90.19641456190791 38.65970192865038, -90.19634323166915 38.65931045225651, -90.1962425230833 38.65876902807972, -90.19616636432826 38.65827750569564, -90.19609462246 38.6578514845143, -90.19604660194317 38.6576131525478, -90.19596023314568 38.65726763061034, -90.1958976085273 38.65702972740486, -90.1957283274396 38.65655721126464, -90.19560203919492 38.65626145079751, -90.19536455513587 38.65576176433021, -90.1948596040111 38.65476643048732, -90.19468654812191 38.65441881408377, -90.19547288791949 38.65458267999734, -90.19617438737156 38.65472866412991, -90.19936494282264 38.65541561285389, -90.20293397895018 38.65617785036597, -90.2033192861456 38.65623056107973, -90.20373462403383 38.65628721831278, -90.2076691689746 38.65711201937845, -90.20793613625248 38.65720352078208, -90.20838453734468 38.65738221716341, -90.21134355228223 38.65865706612131, -90.21160311625235 38.65877212819853, -90.21224711122481 38.65908559400894, -90.21293902246939 38.65945985835111, -90.2132157462551 38.65959393315062, -90.20844306045952 38.66632082669187, -90.20872621510443 38.66688628156913, -90.20768028091538 38.66721477300371, -90.20760863272349 38.66723771440474, -90.20366615998483 38.66848264157014, -90.20225039910696 38.66837607495235, -90.20115560341677 38.66829658995132))"
Jeff Vanderlou,8177,77,8083,8100,,,,6864,"POLYGON ((-90.2132157462551 38.65959393315062, -90.21293902246939 38.65945985835111, -90.21224711122481 38.65908559400894, -90.21160311625235 38.65877212819853, -90.21134355228223 38.65865706612131, -90.2125979770895 38.65826290483281, -90.21260692031508 38.65821580707585, -90.21261497443091 38.65817211205567, -90.21292636807087 38.65723446354842, -90.21295928758231 38.65717276145821, -90.21299131972354 38.65711402275879, -90.21285661734173 38.64950426130244, -90.212869085585 38.64945096635081, -90.21288530621308 38.64940501218432, -90.21289840941361 38.64897325011371, -90.21282009867632 38.64878427662795, -90.21288531695093 38.64852494826341, -90.21290622319079 38.64833138548526, -90.21292082634676 38.64803258396707, -90.21291232721076 38.64760900650948, -90.21289844979567 38.64705910395173, -90.21290317192867 38.64662158218522, -90.21290731467862 38.64609231808805, -90.21289070046198 38.64557901166396, -90.2128421942772 38.6451521231169, -90.21283432932603 38.64507865068794, -90.21280394713459 38.6447955275756, -90.21278650122287 38.64463116941135, -90.21275136149806 38.64400501530793, -90.21274957309893 38.64387414076497, -90.21274215476632 38.64223294579438, -90.21279637234476 38.64128963821175, -90.21283590899593 38.63899755651845, -90.21281357990479 38.6367671051555, -90.2152390263014 38.63732932863818, -90.21705096418184 38.63772963080242, -90.21806712686244 38.637954255926, -90.21889421403203 38.63812286822355, -90.22433459533974 38.63924818356869, -90.22398792584728 38.6401681811106, -90.22400541896232 38.64358556635328, -90.22391804199079 38.64362720789174, -90.22426287973293 38.64386600938968, -90.22521285808662 38.64486432421417, -90.22564467149294 38.64533491606182, -90.22918268247241 38.6493232204127, -90.22944310087675 38.64967529946347, -90.22963274910215 38.64975858202305, -90.23236362579676 38.65094881549954, -90.23225287410487 38.65106962921151, -90.23206553830154 38.65122868270502, -90.23152853779658 38.65140297005426, -90.22272274268066 38.6637555361385, -90.2132157462551 38.65959393315062))"
Kings Oak,587,402,178,185,,,,6578,"POLYGON ((-90.26452877525446 38.62876123316819, -90.26457117512273 38.62846978401339, -90.26501027788625 38.62585514844626, -90.2680798044244 38.62543224989022, -90.2715433462748 38.62446494743459, -90.2723083826842 38.62431107430329, -90.27256723597706 38.62427725368799, -90.27569654827354 38.62390850326786, -90.27569054100702 38.62397164800607, -90.27545609067249 38.62514941930123, -90.27452604966973 38.62973864829385, -90.26452877525446 38.62876123316819))"
Kingsway East,5037,20,5010,5017,,,,8374,"POLYGON ((-90.2442552528201 38.67307047734219, -90.25351056798702 38.66021406749753, -90.25443547849945 38.66062287371379, -90.25587723270067 38.66112841974574, -90.26152908374775 38.66306751203502, -90.25977033879278 38.66551696699889, -90.25718220760329 38.66892590612239, -90.25586354195434 38.67062726778936, -90.25182030912909 38.67636732725285, -90.2442552528201 38.67307047734219))"
Kingsway West,4182,44,4120,4138,,,,7974,"POLYGON ((-90.25182030912909 38.67636732725285, -90.25586354195434 38.67062726778936, -90.25718220760329 38.66892590612239, -90.25977033879278 38.66551696699889, -90.26152908374775 38.66306751203502, -90.26489482619382 38.66430498503735, -90.26568451357164 38.66468484541998, -90.26770622536912 38.66577007768237, -90.25824365888472 38.67925375889202, -90.25615606267247 38.67825217005079, -90.25391140808577 38.67726372330883, -90.25245372881743 38.67663408814138, -90.25182030912909 38.67636732725285))"
Kosciusko,,,,,,,,,"POLYGON ((-90.1874710017579 38.61446314749506, -90.18843306416919 38.61193465688599, -90.19119058116503 38.60698048880325, -90.19290279854046 38.60395620785808, -90.19550432177911 38.59955257457406, -90.19946348407176 38.59547112189325, -90.20445988912216 38.590827206709, -90.20977551843806 38.5872520356407, -90.21194835284633 38.58923428642485, -90.2137702073846 38.59094332399617, -90.21449754994904 38.59162590058463, -90.21426351071612 38.59175117569058, -90.21385170826177 38.59200600845607, -90.21250548370705 38.59296150767931, -90.21242404785062 38.59305373579816, -90.21081410570643 38.59512638216724, -90.20895502986561 38.59734987936555, -90.20840328352716 38.5980892214011, -90.20822560186835 38.59839997512691, -90.2080567670459 38.59876363729703, -90.20798919337224 38.59903278977667, -90.20787855022964 38.59941282529137, -90.20779307366075 38.59964398415335, -90.20768721551734 38.59986180172466, -90.20755016299852 38.60007495553563, -90.2071367915356 38.60068969702638, -90.20464103621745 38.60421971677537, -90.20427651971131 38.60471946158206, -90.20399793419547 38.60509382377712, -90.20288504503404 38.60665621054584, -90.20272806392254 38.60689218140799, -90.20210047530256 38.60774388268941, -90.1989934358746 38.61115301858786, -90.19824462967588 38.61208217865815, -90.1975684050943 38.61282435909351, -90.19752169893708 38.61290387021003, -90.19713453536825 38.6139065044406, -90.19673880830747 38.61403934337555, -90.19619667611592 38.61422303990952, -90.19565807205986 38.61440767671249, -90.1952044894802 38.61456463392316, -90.19472046910795 38.61473499245268, -90.19431472066553 38.61488495903934, -90.1938690594082 38.61509544980759, -90.19349071073958 38.61531138737934, -90.19324422847197 38.61545536930193, -90.19296577717832 38.61563540317982, -90.19260079473025 38.61594108224557, -90.19240042346453 38.61614581348874, -90.19204589023923 38.61659315298747, -90.19201564776468 38.61663470159053, -90.19184770838632 38.61655531415046, -90.18806965953274 38.61475309436548, -90.1874710017579 38.61446314749506))"
LaSalle Park,2017,392,1618,1625,,,,17096,"POLYGON ((-90.19296804905603 38.61708937566133, -90.19204589023923 38.61659315298747, -90.19240042346453 38.61614581348874, -90.19260079473025 38.61594108224557, -90.19296577717832 38.61563540317982, -90.19324422847197 38.61545536930193, -90.19349071073958 38.61531138737934, -90.1938690594082 38.61509544980759, -90.19431472066553 38.61488495903934, -90.19472046910795 38.61473499245268, -90.1952044894802 38.61456463392316, -90.19565807205986 38.61440767671249, -90.19619667611592 38.61422303990952, -90.19673880830747 38.61403934337555, -90.19713453536825 38.6139065044406, -90.19744327291315 38.61380271083566, -90.19815503043326 38.61356180920729, -90.19906890837709 38.61325134718368, -90.19952890871957 38.61310402961103, -90.20011015891349 38.61289339792826, -90.20066317725403 38.61267077381282, -90.20123374008749 38.61243632946606, -90.20181603104957 38.6121915875267, -90.20235565368588 38.61196436299728, -90.20322138938675 38.61158169283124, -90.20393026079043 38.61125809621349, -90.20473545167826 38.61090546676965, -90.20491720371906 38.61083406432402, -90.20525423404759 38.61071203348835, -90.20569166217642 38.61058316973369, -90.20621731721073 38.61047967856151, -90.20645430329088 38.61043977086148, -90.20693095816466 38.61040573534378, -90.20782187553866 38.61042193997562, -90.20801052830957 38.61042562359266, -90.20836991443805 38.61041597542786, -90.20771581744859 38.61111639464994, -90.20251186629092 38.61670543506096, -90.20223608528811 38.61724296213006, -90.20168345184776 38.61875958330188, -90.19338520884352 38.61707421364009, -90.19296804905603 38.61708937566133))"
Lafayette Square,1962,1468,474,494,,,,19778,"POLYGON ((-90.20878874857907 38.6201912481098, -90.21011888425438 38.61648502785416, -90.21008015190569 38.61647326171642, -90.21067576887641 38.61356515362284, -90.21152423506325 38.61116134999596, -90.21448071871629 38.61224893102328, -90.21488298540532 38.61237188590995, -90.21608371856914 38.61273707546656, -90.21688403801969 38.61295410294728, -90.21758468672185 38.61314457846957, -90.21833937835891 38.6133255966067, -90.21901136293509 38.61346428879351, -90.21941798681658 38.61352361543447, -90.21996987476962 38.61358672078904, -90.22124748452906 38.61369642301454, -90.22102401038774 38.61469288130012, -90.22043728649687 38.61744385914655, -90.2201869433527 38.61827824144368, -90.2185981959144 38.62222836856981, -90.20878874857907 38.6201912481098))"
Lewis Place,2696,25,2663,2671,,,,6264,"POLYGON ((-90.25443547849945 38.66062287371379, -90.25351056798702 38.66021406749753, -90.25344238025998 38.66018393849762, -90.24509577736971 38.65653035771124, -90.24511819738473 38.65645901297071, -90.25052599849023 38.64893839414875, -90.25491825923497 38.6508662188897, -90.25757582786812 38.65109714070369, -90.25757669865028 38.6510985154635, -90.25587723270067 38.66112841974574, -90.25443547849945 38.66062287371379))"
Lindenwood Park,10905,10755,47,150,,,,14810,"POLYGON ((-90.2889400131274 38.60699479840755, -90.28913925590142 38.60667868884546, -90.29024340347512 38.60536166419504, -90.29053682955811 38.60503726345626, -90.29080919225147 38.60473501145524, -90.29099185659554 38.6045074253329, -90.29119919456257 38.60420596239862, -90.29139996690577 38.60386307868944, -90.29151144411099 38.60362553435998, -90.2916717487621 38.60315373879916, -90.29177026661817 38.60276217910567, -90.29191441290634 38.60203174222968, -90.29267522841171 38.59759107406664, -90.29280748050229 38.59671900635364, -90.29292519763858 38.59624048792067, -90.29308628556035 38.5958890456486, -90.29352950729441 38.59508071027414, -90.29372581665237 38.59474399249015, -90.29394871676162 38.59429679714015, -90.29411114013175 38.59387876666268, -90.2942635170451 38.59341269179153, -90.29782497205335 38.59376126197767, -90.29827241923894 38.59380734207049, -90.29845438241841 38.59379963742713, -90.29880899606199 38.59377369433567, -90.29914768667416 38.59371111947392, -90.29945387495225 38.59359724871371, -90.30017705611684 38.59325636909568, -90.31179589869319 38.58770894811776, -90.31248893200554 38.58735951344168, -90.31306950278135 38.58698790006903, -90.31471538195953 38.5858218986565, -90.3159012341018 38.58497090724581, -90.31624296598496 38.58472249697554, -90.3202389555879 38.59363115660354, -90.3204926503095 38.59419652312681, -90.31889262417336 38.59818530755739, -90.31884295024236 38.59822183402714, -90.31822462382448 38.59863872460393, -90.31774596086625 38.59892309084664, -90.31732143219054 38.59913592558235, -90.31671566316602 38.59941047832496, -90.31619462148696 38.59962340489257, -90.31554226705265 38.59987179195443, -90.31525621624054 38.59997843228188, -90.3139514427402 38.60049350754498, -90.31330700649366 38.60082657936277, -90.31269766758557 38.60122467263619, -90.31209355452538 38.60174979809212, -90.31152365911367 38.60235389367816, -90.31100594538647 38.60293840980372, -90.3104933265523 38.60347188489055, -90.31009982166238 38.60385820416188, -90.30948077525257 38.60439084294178, -90.30903070541454 38.60473906271298, -90.30780860284 38.60559335413987, -90.30736858687197 38.60590566712936, -90.30677316584 38.60631838787296, -90.30624076707286 38.60669095453267, -90.30563097969393 38.6071315992089, -90.3053808333143 38.60731310153108, -90.3050420257848 38.60761708900279, -90.30481246891769 38.60784461876663, -90.30448599295445 38.60821936038859, -90.30427845059239 38.60850917614598, -90.30427257899773 38.60851921643832, -90.2889400131274 38.60699479840755))"
Marine Villa,3624,2913,428,711,,,,8387,"POLYGON ((-90.21449754994904 38.59162590058463, -90.2137702073846 38.59094332399617, -90.21194835284633 38.58923428642485, -90.20977551843806 38.5872520356407, -90.22485767092964 38.57710519441321, -90.22844406851604 38.57896117784375, -90.22714290815051 38.58506929967124, -90.2271311217838 38.58541045524027, -90.22710420884715 38.58558865891098, -90.22701366975755 38.58608727518596, -90.22692837347445 38.5861342239943, -90.22546344119313 38.5932927245632, -90.21583442180803 38.5920714695709, -90.21564544492826 38.59200236217482, -90.21492972133045 38.59139492240813, -90.21449754994904 38.59162590058463))"
Mark Twain,6902,96,6787,6806,,,,7283,"POLYGON ((-90.22779334786088 38.68309264123994, -90.22861910495457 38.68306117017953, -90.23312070425683 38.68291915942894, -90.23609297588317 38.68282136793379, -90.2366836408527 38.6828050706354, -90.23725758929595 38.68279999096856, -90.23774704022139 38.6828333537804, -90.23821391787483 38.68288953732213, -90.23856812473743 38.68294799342016, -90.23898701562992 38.68304113617781, -90.2393034374048 38.68312490524124, -90.23958573949608 38.68320840526822, -90.24002132678189 38.68336429772881, -90.24031109546452 38.68348576086366, -90.24074767737586 38.68369701005652, -90.24145543581432 38.68406770739924, -90.24205366294868 38.68438708528578, -90.24242778589948 38.68459019986154, -90.24263900987148 38.68470461946837, -90.24319205375198 38.6850046982739, -90.24383047425511 38.68534521629692, -90.24462749967536 38.68575403812468, -90.24568488313852 38.68625796206617, -90.24783395468971 38.68716694809419, -90.24848583203337 38.68743813584385, -90.24913622916613 38.68771324340512, -90.2494516289235 38.68784822115415, -90.24983555843221 38.68801311014027, -90.25098298842484 38.68850482213541, -90.25222139302807 38.68903488353872, -90.25286106214547 38.68930008986034, -90.25333192310569 38.68948733783018, -90.25364444855518 38.68961708099136, -90.25399392543477 38.68979127466916, -90.25429535268026 38.68992964230119, -90.25397008516646 38.69010288327436, -90.24104811955588 38.69716665691883, -90.23913038786446 38.69497960541901, -90.23795207967743 38.69341865130038, -90.23047692362731 38.68486542718775, -90.22986325588036 38.6842395402409, -90.2293374030842 38.68387059435917, -90.22779334786088 38.68309264123994))"
Mark Twain I-70 Industrial,1581,52,1520,1529,,,,6243,"POLYGON ((-90.26086357007223 38.69791630776667, -90.2606904086603 38.6974841625218, -90.26057904163233 38.69707798233883, -90.26051402071556 38.69661220131196, -90.26048189137614 38.69608651735791, -90.26046546349953 38.69575928350321, -90.26044087571867 38.69534685540905, -90.26038129166136 38.69491150977274, -90.26031242950627 38.69455830209525, -90.26023545634975 38.69426296109692, -90.2601309625332 38.69399364954803, -90.26000452560548 38.69372747809738, -90.25986378667696 38.69347410044161, -90.25968342099355 38.69318953023862, -90.25949800952959 38.69292644969493, -90.25934999083205 38.69274491638809, -90.2592362678235 38.69261746517957, -90.25900556520486 38.692372825346, -90.25880617051949 38.69218522686858, -90.2586105334518 38.69201619802823, -90.25816030033307 38.6916768092522, -90.25775267558848 38.69143089477061, -90.25713187187981 38.69110855751371, -90.25662662528946 38.6908887419589, -90.25611785483638 38.69067580905664, -90.25532833265028 38.6903535495756, -90.25477027998298 38.69012881018384, -90.25452066214147 38.69003333354003, -90.25429535268026 38.68992964230119, -90.25399392543477 38.68979127466916, -90.25364444855518 38.68961708099136, -90.25333192310569 38.68948733783018, -90.25286106214547 38.68930008986034, -90.25222139302807 38.68903488353872, -90.25098298842484 38.68850482213541, -90.24983555843221 38.68801311014027, -90.2494516289235 38.68784822115415, -90.24976242010625 38.6873855171192, -90.25034165587539 38.68654469941433, -90.250283375016 38.68652008161525, -90.24944699055611 38.68616451181871, -90.24958779098154 38.68556140320775, -90.24955278819618 38.68555262377198, -90.24954622005936 38.6853363705504, -90.24969983635926 38.68540809266692, -90.24969240636915 38.68461451332542, -90.24966128751375 38.68433573842687, -90.24968123344372 38.68388976544738, -90.24950427215578 38.68381274863364, -90.25018957144961 38.68277695256329, -90.25022271140386 38.68272666362396, -90.24803712086347 38.68178147881049, -90.25182030912909 38.67636732725285, -90.25245372881743 38.67663408814138, -90.25391140808577 38.67726372330883, -90.25615606267247 38.67825217005079, -90.25824365888472 38.67925375889202, -90.26520511784095 38.68229144849371, -90.26576830709666 38.68254385474121, -90.26640553392002 38.68292222312542, -90.26839081816952 38.68414584350627, -90.27127549418505 38.68605673253301, -90.27193719274476 38.68647040321952, -90.27216178023015 38.68662963604613, -90.27252663829582 38.68692371763816, -90.2733028647542 38.68759728246788, -90.27521992897664 38.68924898588031, -90.2748945638933 38.6896604911832, -90.26572639924181 38.70123890011956, -90.2655899207667 38.701183269529, -90.26404147064089 38.7005396495889, -90.26375831240739 38.70042075759062, -90.26341628542013 38.70027041524141, -90.26319178843463 38.70016174540061, -90.26289593449627 38.70000463030022, -90.26258587299699 38.6998104161184, -90.2622560768889 38.69958705457755, -90.26191014962281 38.69929416083101, -90.2616569490966 38.69904102332868, -90.26139019739421 38.69874345660533, -90.26123614116391 38.69853904027735, -90.26098281078711 38.69814745332215, -90.26086357007223 38.69791630776667))"
McKinley Heights,1989,1207,699,782,,,,10482,"POLYGON ((-90.21152423506325 38.61116134999596, -90.21246435436953 38.60849805449305, -90.21251799196105 38.60843066389688, -90.21255406040652 38.6083811061143, -90.21418180278418 38.6079091413023, -90.21467928886214 38.60777053262969, -90.21542084965509 38.60756524038327, -90.21636712700175 38.60728039595214, -90.21733806398068 38.60696992897233, -90.21920559603309 38.60652546551633, -90.21986146771212 38.60638218963695, -90.2201084393952 38.60631575244939, -90.22040983582279 38.60620207749319, -90.22080653625915 38.60603049783491, -90.22272451326241 38.60506025276224, -90.22299909185104 38.6049382423044, -90.22245792482917 38.60764104201418, -90.22124748452906 38.61369642301454, -90.21996987476962 38.61358672078904, -90.21941798681658 38.61352361543447, -90.21901136293509 38.61346428879351, -90.21833937835891 38.6133255966067, -90.21758468672185 38.61314457846957, -90.21688403801969 38.61295410294728, -90.21608371856914 38.61273707546656, -90.21488298540532 38.61237188590995, -90.21448071871629 38.61224893102328, -90.21152423506325 38.61116134999596))"
Midtown,4412,1353,2902,3059,,,,12134,"POLYGON ((-90.2152390263014 38.63732932863818, -90.21281357990479 38.6367671051555, -90.21281285351186 38.63637007149828, -90.21283168958563 38.63617677783644, -90.21290230587832 38.6358163026096, -90.21292539836978 38.63573192237094, -90.21304758168796 38.63538027809907, -90.21318788335452 38.63509389359682, -90.21344514578907 38.63466731436878, -90.21376558823137 38.63412805942381, -90.21423297806575 38.63317727504296, -90.21436841886518 38.63293140686636, -90.21462800480815 38.63250664283673, -90.21696190704728 38.62872635000017, -90.21769434775199 38.6275437221234, -90.21792508779929 38.6271719593617, -90.21804839652351 38.62689835105817, -90.21809911283725 38.62668522511055, -90.218141969497 38.62640524450177, -90.21814593943027 38.62606176689434, -90.21814880185072 38.6258491846296, -90.21813597652834 38.62427892635458, -90.21814377639593 38.62400322718759, -90.21818280984552 38.62364429198014, -90.21829714133837 38.6231314918364, -90.21840740516581 38.6227633643737, -90.2185981959144 38.62222836856981, -90.23673333361091 38.62599882595182, -90.2421410032896 38.62713743759375, -90.24716324399496 38.62817064951238, -90.2475944397368 38.62824091500359, -90.24667007715165 38.62887987006825, -90.24654635159855 38.62897364989306, -90.24614641523446 38.62929976705443, -90.24593084571271 38.62954849140495, -90.24580660423733 38.62969856067532, -90.2455562521034 38.62996255843579, -90.24532590049967 38.630183103813, -90.24477800267256 38.63068029435736, -90.24421809581298 38.63119552418016, -90.24370120604011 38.63168088753184, -90.243423830503 38.63191068964954, -90.24329301258319 38.63201749353468, -90.24301025743077 38.63268459785238, -90.24275060246032 38.63343001086556, -90.24231384601023 38.63472968118013, -90.24098625216655 38.63865895704314, -90.24085311361432 38.63892938202527, -90.23048857050945 38.63679375184699, -90.22879546541485 38.63643262314569, -90.22834174067289 38.6363590233991, -90.22791772061412 38.63623493866181, -90.22555854755058 38.63572939713857, -90.22433459533974 38.63924818356869, -90.21889421403203 38.63812286822355, -90.21806712686244 38.637954255926, -90.21705096418184 38.63772963080242, -90.2152390263014 38.63732932863818))"
Mount Pleasant,5144,4869,188,275,,,,9562,"POLYGON ((-90.22844406851604 38.57896117784375, -90.22485767092964 38.57710519441321, -90.22951551825685 38.57397057100235, -90.23279195221974 38.57089873717097, -90.2355579036237 38.56730368015744, -90.2384563013515 38.56361323720248, -90.24013570435849 38.56448266570168, -90.24138662699974 38.5651298280881, -90.24209783328436 38.56553299233742, -90.24418469324999 38.56659709614576, -90.24221506444972 38.56942088291974, -90.24209960649432 38.56966526511883, -90.24207846013438 38.56971005985906, -90.23980362881269 38.58039460656406, -90.22844406851604 38.57896117784375))"
Near North Riverfront,1397,787,591,610,,,,4414,"POLYGON ((-90.18098107312855 38.63382924242815, -90.18147589066781 38.63388182937062, -90.18540456292097 38.63431788370279, -90.18562066919424 38.63433403392884, -90.18577691106617 38.63436625134772, -90.18609197169766 38.63443393265286, -90.18611039300387 38.63522711201706, -90.1861439679904 38.63662371902028, -90.18614227259587 38.63721320718449, -90.18627706947359 38.6376769415855, -90.18637489063977 38.63806185135769, -90.18643708280334 38.63825148605233, -90.18656326228481 38.6385483827524, -90.18672365758948 38.63889941048896, -90.18686013026418 38.63918878314215, -90.18707951248896 38.63959027333846, -90.18713687008253 38.63968469390766, -90.18724928682776 38.63987081036046, -90.1875470563651 38.64036265745411, -90.18798145207694 38.64118396573498, -90.1884493096089 38.6420906768798, -90.18869490593036 38.64257142575519, -90.18913651630778 38.64340645076918, -90.18973088831846 38.64455263391449, -90.1902712909324 38.64563298881157, -90.19100215260994 38.64707218539375, -90.19161118325917 38.64827608861357, -90.19267127329391 38.65038957550622, -90.19376289407046 38.65257982784027, -90.19407863904627 38.65319873007018, -90.19468654812191 38.65441881408377, -90.1948596040111 38.65476643048732, -90.19536455513587 38.65576176433021, -90.19560203919492 38.65626145079751, -90.1957283274396 38.65655721126464, -90.1958976085273 38.65702972740486, -90.19596023314568 38.65726763061034, -90.19604660194317 38.6576131525478, -90.19609462246 38.6578514845143, -90.19616636432826 38.65827750569564, -90.1962425230833 38.65876902807972, -90.19634323166915 38.65931045225651, -90.19641456190791 38.65970192865038, -90.19653980383104 38.6602395445213, -90.19665554926029 38.66060461050209, -90.19685914444872 38.66111565656677, -90.19703359044227 38.66148040743025, -90.19730067939088 38.66202616054503, -90.19768007983825 38.66279053000775, -90.19797297524489 38.66337317071799, -90.19821790884305 38.66384381888449, -90.19868862812505 38.66462626879086, -90.19897918779381 38.66507619140953, -90.19935947556115 38.66563642709873, -90.20003824870558 38.66664023124878, -90.20083538242996 38.66782235079219, -90.20115560341677 38.66829658995132, -90.20182279745752 38.66928365870965, -90.2026504506767 38.67051090343025, -90.20362994826479 38.67194790165936, -90.20433811901242 38.67299522199099, -90.20478928797947 38.6736645482911, -90.20539039471031 38.67456216000411, -90.20625909485386 38.67577781158143, -90.20658648070381 38.67617039036946, -90.20699501825841 38.67662654682902, -90.20705954425311 38.67669466938762, -90.20717266610387 38.67680322334105, -90.20749978371138 38.67711776048653, -90.2076123357529 38.67722032653087, -90.20769902135093 38.67729215616784, -90.20781599444079 38.67738443595385, -90.20791810090041 38.67747165350708, -90.20801703401553 38.67755540321958, -90.20811042081245 38.67763345500194, -90.20819798871027 38.67770391351954, -90.2082797651142 38.67776864606305, -90.20835833658117 38.67782903204226, -90.20843397786437 38.67788641763748, -90.20850965886393 38.67794267746522, -90.20858328060076 38.67799711982167, -90.20865607209726 38.67804900638051, -90.20872533496943 38.67809860501282, -90.20879198185911 38.67814545119502, -90.20885747931689 38.67819070185838, -90.2089238535941 38.67823570753641, -90.20899403871609 38.67828256240836, -90.20906971244277 38.67833217678622, -90.20955887869833 38.67864183897435, -90.21039669100313 38.67914600344576, -90.21103584757502 38.67954801821178, -90.21115057817913 38.67961626251775, -90.21038788432365 38.68002741388222, -90.19896630829645 38.68608226340098, -90.19865085083705 38.68625284950487, -90.1897395023376 38.67536544924981, -90.18651835215485 38.66520741751884, -90.18202980475894 38.6495196518104, -90.1807846786409 38.63888876623509, -90.1806638597879 38.63548734860298, -90.18098107312855 38.63382924242815))"
North Hampton,7708,7450,197,258,,,,15770,"POLYGON ((-90.28835279970596 38.60427658201449, -90.28834627560661 38.60431751208876, -90.28502986295646 38.60398011516725, -90.28168076576911 38.60364165714504, -90.28156146683037 38.6036551641944, -90.27630676653521 38.60303489920226, -90.26970775339039 38.6023520365443, -90.27123483744529 38.59485788548344, -90.27133854235618 38.5944287607921, -90.27137516841411 38.59427667993172, -90.27155575150475 38.59397703883882, -90.27333032532964 38.59145925072573, -90.27388409784714 38.59152987656542, -90.27397968263878 38.59154151176288, -90.27418225401435 38.59156614943368, -90.27434261445993 38.59156233982289, -90.27449723706069 38.5915361120726, -90.27477758315759 38.59149452918807, -90.27511969306269 38.59146064311572, -90.27551184630704 38.5914568102396, -90.27655070226733 38.59154600928367, -90.2792977840551 38.59184641030114, -90.2942635170451 38.59341269179153, -90.29411114013175 38.59387876666268, -90.29394871676162 38.59429679714015, -90.29372581665237 38.59474399249015, -90.29352950729441 38.59508071027414, -90.29308628556035 38.5958890456486, -90.29292519763858 38.59624048792067, -90.29280748050229 38.59671900635364, -90.29267522841171 38.59759107406664, -90.29191441290634 38.60203174222968, -90.29177026661817 38.60276217910567, -90.2916717487621 38.60315373879916, -90.29151144411099 38.60362553435998, -90.29139996690577 38.60386307868944, -90.29119919456257 38.60420596239862, -90.29099185659554 38.6045074253329, -90.29096056425294 38.60454627932292, -90.28835279970596 38.60427658201449))"
