boundaries,geometry
43,"POLYGON ((-90.31686205161624 38.59711724697488, -90.31686205161624 38.59832258417759, -90.31565033430483 38.59832258417759, -90.31565033430483 38.59711724697488, -90.31686205161624 38.59711724697488))"
44,"POLYGON ((-90.31686205161624 38.59832258417759, -90.31686205161624 38.5995279213803, -90.31565033430483 38.5995279213803, -90.31565033430483 38.59832258417759, -90.31686205161624 38.59832258417759))"
45,"POLYGON ((-90.31686205161624 38.5995279213803, -90.31686205161624 38.60073325858301, -90.31565033430483 38.60073325858301, -90.31565033430483 38.5995279213803, -90.31686205161624 38.5995279213803))"
46,"POLYGON ((-90.31686205161624 38.60073325858301, -90.31686205161624 38.60193859578571, -90.31565033430483 38.60193859578571, -90.31565033430483 38.60073325858301, -90.31686205161624 38.60073325858301))"
47,"POLYGON ((-90.31686205161624 38.60193859578571, -90.31686205161624 38.60314393298842, -90.31565033430483 38.60314393298842, -90.31565033430483 38.60193859578571, -90.31686205161624 38.60193859578571))"
48,"POLYGON ((-90.31651289468614 38.60434927019112, -90.31565033430483 38.60434927019112, -90.31565033430483 38.60314393298842, -90.31686205161624 38.60314393298842, -90.31686205161624 38.60324711410407, -90.31677053959899 38.60345838984476, -90.31651289468614 38.60434927019112))"
49,"POLYGON ((-90.31607463112604 38.60555460739383, -90.31565033430483 38.60555460739383, -90.31565033430483 38.60434927019112, -90.31651289468614 38.60434927019112, -90.31638440212606 38.60479356965414, -90.31607463112604 38.60555460739383))"
50,"POLYGON ((-90.31565033430483 38.60659700934158, -90.31565033430483 38.60555460739383, -90.31607463112604 38.60555460739383, -90.31565033430483 38.60659700934158))"
51,"POLYGON ((-90.31462149094254 38.58144786333971, -90.31443861699341 38.58144786333971, -90.31443861699341 38.58118654350277, -90.31462149094254 38.58144786333971))"
52,"POLYGON ((-90.31521418106151 38.58265320054242, -90.31443861699341 38.58265320054242, -90.31443861699341 38.58144786333971, -90.31462149094254 38.58144786333971, -90.31479880453291 38.58170123763792, -90.31521418106151 38.58265320054242))"
53,"POLYGON ((-90.31565033430483 38.58365277967059, -90.31565033430483 38.58385853774512, -90.31443861699341 38.58385853774512, -90.31443861699341 38.58265320054242, -90.31521418106151 38.58265320054242, -90.31565033430483 38.58365277967059))"
54,"POLYGON ((-90.31565033430483 38.58385853774512, -90.31565033430483 38.58506387494783, -90.31443861699341 38.58506387494783, -90.31443861699341 38.58385853774512, -90.31565033430483 38.58385853774512))"
55,"POLYGON ((-90.31565033430483 38.58506387494783, -90.31565033430483 38.58626921215053, -90.31443861699341 38.58626921215053, -90.31443861699341 38.58506387494783, -90.31565033430483 38.58506387494783))"
56,"POLYGON ((-90.31565033430483 38.58626921215053, -90.31565033430483 38.58747454935324, -90.31443861699341 38.58747454935324, -90.31443861699341 38.58626921215053, -90.31565033430483 38.58626921215053))"
