"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US29510110200","Census Tract 1102, St. Louis city, Missouri","2654","2600","44","2537","7","4","0","8","54","53","11","0","0","0","0","26","1","5","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510110300","Census Tract 1103, St. Louis city, Missouri","2483","2440","20","2414","4","0","0","2","43","32","15","0","0","0","0","8","1","1","7","0","0","0","0","0","0","10","2","0","4","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"1400000US29510110400","Census Tract 1104, St. Louis city, Missouri","2539","2502","35","2456","8","0","0","3","37","31","9","7","0","0","0","10","0","4","1","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510110500","Census Tract 1105, St. Louis city, Missouri","1562","1544","30","1510","2","0","0","2","18","17","6","0","0","0","0","3","6","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510111100","Census Tract 1111, St. Louis city, Missouri","1556","1522","46","1465","1","3","0","7","34","27","11","0","0","0","2","10","0","0","4","0","0","0","0","0","0","5","3","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510111200","Census Tract 1112, St. Louis city, Missouri","1276","1265","77","1185","1","1","0","1","11","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510111300","Census Tract 1113, St. Louis city, Missouri","1554","1532","13","1516","3","0","0","0","22","21","3","2","0","0","0","12","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510111400","Census Tract 1114, St. Louis city, Missouri","1643","1631","16","1608","1","1","0","5","12","6","0","1","0","0","0","3","0","0","2","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510111500","Census Tract 1115, St. Louis city, Missouri","1010","995","23","966","1","4","0","1","15","9","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510112100","Census Tract 1121, St. Louis city, Missouri","4285","4183","2809","1055","10","275","1","33","102","101","22","20","35","0","3","8","5","0","0","2","0","0","0","6","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
